Date,Open,High,Low,Adj Close,Volume,Trend
6/14/2018,1775.849976,1780,1748,1754.407959,203,TRUE
6/15/2018,1761.949951,1787.949951,1760,1768.212036,175,FALSE
6/18/2018,1756.599976,1773.800049,1756.599976,1760.786743,185,FALSE
6/19/2018,1761.349976,1775.199951,1752.849976,1752.813354,130,TRUE
6/20/2018,1750,1770,1750,1747.082397,336,FALSE
6/21/2018,1761.599976,1766.949951,1741.050049,1758.544312,142,TRUE
6/22/2018,1772,1787.949951,1765,1772.099121,842,TRUE
6/25/2018,1791.849976,1804.949951,1781.75,1783.810059,522,TRUE
6/26/2018,1805.349976,1805.349976,1780,1774.142334,157,TRUE
6/27/2018,1780,1798.949951,1780,1780.321655,371,FALSE
6/28/2018,1778.050049,1790.150024,1778,1783.710449,363,FALSE
6/29/2018,1777.050049,1836,1777.050049,1800.554443,517,FALSE
7/2/2018,1800.949951,1805,1788,1797.514404,163,TRUE
7/3/2018,1785.599976,1804.400024,1740,1758.593994,10249,FALSE
7/4/2018,1761.449951,1786,1760,1776.98291,94,FALSE
7/5/2018,1790,1807.150024,1775,1787.746948,281,TRUE
7/6/2018,1802.650024,1805,1800,1798.660645,52,TRUE
7/9/2018,1804.650024,1838.050049,1799,1795.670654,445,TRUE
7/10/2018,1826.199951,1834.900024,1784.75,1793.627319,189,TRUE
7/11/2018,1801.650024,1808.449951,1775.150024,1780.670532,19835,FALSE
7/12/2018,1802.449951,1802.449951,1745.599976,1761.584106,20629,TRUE
7/13/2018,1793.050049,1794.949951,1765,1764.923096,46162,FALSE
7/16/2018,1770,1780,1745,1752.663818,12724,FALSE
7/17/2018,1792.699951,1841.75,1743.800049,1759.889771,15651,TRUE
7/18/2018,1889.900024,1889.900024,1745.050049,1744.092407,1396,TRUE
7/19/2018,1761.050049,1794.949951,1761,1780.770142,590,FALSE
7/20/2018,1769.099976,1798.949951,1743,1771.700439,704,TRUE
7/23/2018,1813,1814.400024,1767.75,1788.295166,341,TRUE
7/24/2018,1797,1815,1785.699951,1796.168945,346,FALSE
7/25/2018,1819.199951,1819.199951,1793,1799.607422,115,TRUE
7/26/2018,1800,1810.949951,1799.099976,1801.849976,8963,FALSE
7/27/2018,1800.949951,1803,1761.400024,1800.5,2294,TRUE
7/30/2018,1799,1821.150024,1775.349976,1786.550049,1341,FALSE
7/31/2018,1775.349976,1800,1765,1797.349976,374,FALSE
8/1/2018,1770.150024,1789.5,1765,1772.699951,2163,FALSE
8/2/2018,1769.5,1770,1752.75,1757.849976,1005,FALSE
8/3/2018,1769.849976,1769.900024,1741.300049,1744.800049,1402,TRUE
8/6/2018,1760,1760.5,1734.25,1750.599976,1179,FALSE
8/7/2018,1752,1764,1733.300049,1752.449951,524,FALSE
8/8/2018,1742.849976,1771,1728.150024,1765,975,FALSE
8/9/2018,1780,1780,1760.050049,1780,77,TRUE
8/10/2018,1768.5,1769.949951,1754.050049,1760.150024,213,FALSE
8/13/2018,1761,1798,1756,1780.050049,425,FALSE
8/14/2018,1785,1806.949951,1782.050049,1798.25,1511,TRUE
8/16/2018,1809.849976,1811.050049,1793.150024,1802.050049,262,TRUE
8/17/2018,1801,1805,1796.900024,1804.849976,121,FALSE
8/20/2018,1825.050049,1825.050049,1797,1803.849976,435,TRUE
